index,bitmask,num_features,accuracy,time,rank,crowding_distance
6915,001101100000011,6,0.7002551015,0.4090578286,414,0
8576,010000110000000,3,0.6403061152,0.4309142213,424,0
484,000000111100100,5,0.8721301034,0.1296431492,133,0
320,000000101000000,2,0.8711734712,0.0524994274,0,0
2882,000101101000010,5,0.8496492449,0.1845962363,344,0
1136,000010001110000,4,0.8601722009,0.05439852597,186,0
9048,010001101011000,6,0.8539540898,0.2055288177,352,0
608,000001001100000,3,0.856983427,0.08070181357,150,0
320,000000101000000,2,0.8711734712,0.0524994274,0,0
320,000000101000000,2,0.8711734712,0.0524994274,0,0
66,000000001000010,2,0.8662308715,0.09138961672,53,0
832,000001101000000,3,0.8496492449,0.100915143,240,0
7652,001110111100100,8,0.8620854653,0.3672444997,366,0
833,000001101000001,4,0.8458227161,0.17435754,333,0
72,000000001001000,2,0.865433678,0.01148478602,59,0
8283,010000001011011,6,0.8679846972,0.2934167092,257,0
324,000000101000100,3,0.8588966914,0.05796585826,130,0
4100,001000000000100,2,0.5969387777,0.1077202179,439,0
832,000001101000000,3,0.8496492449,0.100915143,239,0
104,000000001101000,3,0.8574617412,0.04426907946,143,0
24644,110000001000100,4,0.8536352105,0.2139517281,277,0
368,000000101110000,4,0.8697385229,0.0771582555,102,0
6722,001101001000010,5,0.8619260266,0.3201393639,246,0
16512,100000010000000,2,0.6741071418,0.0669742669,411,0
320,000000101000000,2,0.8711734712,0.0524994274,0,0
1105,000010001010001,4,0.8708545938,0.1366915568,100,0
8518,010000101000110,5,0.8584183715,0.3361920067,295,0
353,000000101100001,4,0.8612882718,0.1432401384,170,0
9025,010001101000001,5,0.8472576607,0.4034978661,353,0
3392,000110101000000,4,0.8596938793,0.02389917726,191,0
1040,000010000010000,2,0.7386798505,0.05235391925,388,0
64,000000001000000,1,0.8627232201,0.1400898285,38,0
28674,111000000000010,4,0.6224489808,0.6195292678,431,0
20944,101000111010000,6,0.8593750075,0.2156709544,331,0
64,000000001000000,1,0.8627232201,0.1400898285,36,0
3137,000110001000001,4,0.8545918446,0.09505447047,261,0
674,000001010100010,4,0.7315051071,0.2836121686,399,0
4416,001000101000000,3,0.8485331722,0.2229109057,247,0
320,000000101000000,2,0.8711734712,0.0524994274,0,0
16452,100000001000100,3,0.856505109,0.01630683697,152,0
5696,001011001000000,4,0.8655931167,0.1959986982,128,0
608,000001001100000,3,0.856983427,0.08070181357,146,0
2929,000101101110001,7,0.8488520514,0.3362633451,379,0
290,000000100100010,3,0.7075892948,0.1587693463,405,0
2368,000100101000000,3,0.8668686245,0.05789093045,89,0
1096,000010001001000,3,0.8652742393,0.05509718251,92,0
21188,101001011000100,6,0.8665497489,0.2519443899,282,0
4424,001000101001000,4,0.8612882681,0.2930400516,171,0
6216,001100001001000,4,0.8584183753,0.1569277684,205,0
8694,010000111110110,8,0.8641581684,0.4571371553,360,0
320,000000101000000,2,0.8711734712,0.0524994274,0,0
16448,100000001000000,2,0.866071431,0.01048197823,54,0
4320,001000011100000,4,0.8609693926,0.2718547671,183,0
2372,000100101000100,4,0.8588966876,0.06140250142,199,0
464,000000111010000,4,0.853794653,0.1815562656,268,0
336,000000101010000,3,0.8652742393,0.07649084565,95,0
1344,000010101000000,3,0.8544324078,0.05898629013,180,0
16832,100000111000000,4,0.8627232183,0.1420387088,160,0
10515,010100100010011,6,0.7670599427,0.3563468195,384,0
80,000000001010000,2,0.8624043409,0.01978679741,73,0
8296,010000001101000,4,0.8514030706,0.1701279965,303,0
2118,000100001000110,4,0.8718112241,0.1518128975,97,0
18720,100100100100000,4,0.7329400592,0.06451277004,396,0
9152,010001111000000,5,0.8494898025,0.278944436,346,0
1348,000010101000100,4,0.8627232201,0.05805952463,159,0
6468,001100101000100,5,0.86128827,0.1674197833,258,0
2372,000100101000100,4,0.8588966876,0.06140250142,200,0
12355,011000001000011,5,0.8676658198,0.3822931172,182,0
832,000001101000000,3,0.8496492449,0.100915143,237,0
5056,001001111000000,5,0.8587372508,0.2808429645,289,0
4160,001000001000000,2,0.8644770458,0.09322742093,67,0
356,000000101100100,4,0.8565051109,0.08636910701,234,0
16720,100000101010000,4,0.8627232201,0.2074204059,157,0
2048,000100000000000,1,0.5290178433,0.04031465121,449,0
337,000000101010001,4,0.8571428657,0.1930059581,227,0
256,000000100000000,1,0.5980548561,0.04389673762,435,0
320,000000101000000,2,0.8711734712,0.0524994274,0,0
12642,011000101100010,6,0.8614477105,0.3264065916,320,0
4424,001000101001000,4,0.8612882681,0.2930400516,172,0
2,000000000000010,1,0.6117665824,0.2448664177,429,0
320,000000101000000,2,0.8711734712,0.0524994274,0,0
18529,100100001100001,5,0.8691007681,0.1223383702,164,0
2384,000100101010000,4,0.8620854635,0.1033862709,167,0
5584,001010111010000,6,0.8625637814,0.2522207457,315,0
16451,100000001000011,4,0.856983427,0.2159815826,228,0
8208,010000000010000,2,0.7189094462,0.1979603728,397,0
1968,000011110110000,6,0.7630739752,0.1679123468,389,0
4160,001000001000000,2,0.8644770458,0.09322742093,66,0
16448,100000001000000,2,0.866071431,0.01048197823,55,0
1361,000010101010001,5,0.859693883,0.2821052098,283,0
64,000000001000000,1,0.8627232201,0.1400898285,47,0
17216,100001101000000,4,0.8514030706,0.07490348257,304,0
17795,100010110000011,6,0.7417091858,0.2771315901,400,0
8448,010000100000000,2,0.5923150554,0.1942530735,441,0
72,000000001001000,2,0.865433678,0.01148478602,62,0
320,000000101000000,2,0.8711734712,0.0524994274,0,0
3392,000110101000000,4,0.8596938793,0.02389917726,192,0
2496,000100111000000,4,0.8568239883,0.1801109738,229,0
774,000001100000110,4,0.6578443833,0.3215469718,421,0
100,000000001100100,3,0.867028065,0.01594595192,84,0
4720,001001001110000,5,0.8708545938,0.1777245565,142,0
8513,010000101000001,4,0.8463010322,0.2705551917,329,0
292,000000100100100,3,0.7420280632,0.05752371892,390,0
74,000000001001010,3,0.8520408273,0.1232839532,202,0
20834,101000101100010,6,0.853794653,0.2110475251,354,0
3396,000110101000100,5,0.8608099557,0.05774150882,264,0
1304,000010100011000,4,0.7318239864,0.1136292075,398,0
2370,000100101000010,4,0.8563456703,0.1888111068,235,0
1078,000010000110110,5,0.7193877622,0.1917456572,406,0
4208,001000001110000,4,0.8694196455,0.1558948285,105,0
8672,010000111100000,5,0.8576211818,0.236308984,306,0
320,000000101000000,2,0.8711734712,0.0524994274,0,0
4352,001000100000000,2,0.6186224539,0.1637775789,428,0
8256,010000001000000,2,0.8657525554,0.1072148548,58,0
96,000000001100000,2,0.8638392892,0.01080519165,69,0
8512,010000101000000,3,0.8510841876,0.3886754797,216,0
8545,010000101100001,5,0.858577814,0.2446625228,290,0
17728,100010101000000,4,0.8633609749,0.02859240747,151,0
19033,100101001011001,7,0.8523597028,0.3503141589,375,0
832,000001101000000,3,0.8496492449,0.100915143,241,0
320,000000101000000,2,0.8711734712,0.0524994274,0,0
8260,010000001000100,3,0.8590561301,0.2163085123,127,0
3152,000110001010000,4,0.8708545938,0.0517516121,99,0
2248,000100011001000,4,0.850765314,0.1406491026,307,0
64,000000001000000,1,0.8627232201,0.1400898285,41,0
320,000000101000000,2,0.8711734712,0.0524994274,0,0
336,000000101010000,3,0.8652742393,0.07649084565,96,0
840,000001101001000,4,0.8517219443,0.178499666,297,0
1621,000011001010101,6,0.8700574003,0.1514761779,231,0
16839,100000111000111,7,0.8565051109,0.3093475974,363,0
64,000000001000000,1,0.8627232201,0.1400898285,42,0
16720,100000101010000,4,0.8627232201,0.2074204059,156,0
196,000000011000100,3,0.8560267929,0.1622822294,162,0
320,000000101000000,2,0.8711734712,0.0524994274,0,0
10562,010100101000010,5,0.8603316378,0.2748213001,274,0
485,000000111100101,6,0.8541135304,0.2186113552,351,0
320,000000101000000,2,0.8711734712,0.0524994274,0,0
498,000000111110010,6,0.8611288331,0.1988364463,321,0
64,000000001000000,1,0.8627232201,0.1400898285,48,0
4160,001000001000000,2,0.8644770458,0.09322742093,68,0
16389,100000000000101,3,0.6744260192,0.1527653269,415,0
1349,000010101000101,5,0.8467793483,0.1330940009,356,0
225,000000011100001,4,0.8432716951,0.188668367,343,0
340,000000101010100,4,0.8691007681,0.06879206875,106,0
1401,000010101111001,7,0.85538904,0.1919457805,367,0
336,000000101010000,3,0.8652742393,0.07649084565,91,0
850,000001101010010,5,0.8649553619,0.180890443,207,0
4948,001001101010100,6,0.8796237223,0.1996162571,118,0
320,000000101000000,2,0.8711734712,0.0524994274,0,0
352,000000101100000,3,0.8689413294,0.05226320517,74,0
5441,001010101000001,5,0.8571428638,0.2669467186,308,0
16,000000000010000,1,0.7338966914,0.04907344177,383,0
3440,000110101110000,6,0.8660714328,0.074577044,285,0
320,000000101000000,2,0.8711734712,0.0524994274,0,0
25890,110010100100010,6,0.722098222,0.2903395835,407,0
1377,000010101100001,5,0.8644770458,0.1197354958,213,0
16652,100000100001100,4,0.5640943851,0.1748507875,447,0
332,000000101001100,4,0.8555484787,0.05394885037,245,0
4544,001000111000000,4,0.854910722,0.3246478322,254,0
3408,000110101010000,5,0.8665497489,0.090134689,187,0
100,000000001100100,3,0.867028065,0.01594595192,83,0
4546,001000111000010,5,0.8632015362,0.3294967869,233,0
1092,000010001000100,3,0.8576211818,0.05499647636,141,0
4544,001000111000000,4,0.854910722,0.3246478322,255,0
3172,000110001100100,5,0.8681441359,0.0318621934,169,0
1398,000010101110110,7,0.8595344424,0.1768116038,359,0
8291,010000001100011,5,0.8745216839,0.2833676883,110,0
64,000000001000000,1,0.8627232201,0.1400898285,44,0
13901,011011001001101,8,0.8601721991,0.3817220242,374,0
349,000000101011101,6,0.8531568982,0.1368581075,357,0
4868,001001100000100,4,0.6077806149,0.3786545084,440,0
4484,001000110000100,4,0.6476402991,0.3611084465,423,0
16716,100000101001100,5,0.8557079174,0.09314113413,316,0
96,000000001100000,2,0.8638392892,0.01080519165,70,0
4432,001000101010000,4,0.8668686263,0.2351069432,115,0
27016,110100110001000,6,0.6734693814,0.3110130075,419,0
396,000000110001100,4,0.6600765213,0.1682711283,420,0
18752,100100101000000,4,0.8582589347,0.1085558361,208,0
1348,000010101000100,4,0.8627232201,0.05805952463,158,0
352,000000101100000,3,0.8689413294,0.05226320517,76,0
16866,100000111100010,6,0.8678252585,0.1938080774,262,0
17736,100010101001000,5,0.8601721991,0.1201199577,279,0
30224,111011000010000,6,0.7565369848,0.4327725116,392,0
1344,000010101000000,3,0.8544324078,0.05898629013,178,0
1344,000010101000000,3,0.8544324078,0.05898629013,179,0
6496,001100101100000,5,0.865911996,0.1569030029,194,0
6928,001101100010000,5,0.7342155669,0.2647808683,402,0
996,000001111100100,6,0.8660714328,0.1373376551,286,0
18531,100100001100011,6,0.8727678582,0.1948042857,193,0
66,000000001000010,2,0.8662308715,0.09138961672,51,0
1104,000010001010000,3,0.8598533235,0.05470779625,117,0
16472,100000001011000,4,0.862244904,0.05681009247,165,0
297,000000100101001,4,0.7710459083,0.2621066635,382,0
16721,100000101010001,5,0.8507653158,0.1496396051,339,0
327,000000101000111,5,0.8735650517,0.2447642358,113,0
