index,bitmask,num_features,accuracy,time,rank,crowding_distance
2047,0000011111111111,11,0.9563333355,0.3860060126,0,0
3076,0000110000000100,3,0.259234373,0.008264982811,0,0
479,0000000111011111,8,0.9295416661,0.01354214092,0,0.03052991986
34234,1000010110111010,8,0.9041666687,0.013279306,0,0
9690,0010010111011010,8,0.8995156251,0.01301580408,0,0
1531,0000010111111011,9,0.9438645821,0.01614401932,0,0
34815,1000011111111111,12,0.9529947862,0.2818981102,0,0
2047,0000011111111111,11,0.9563333355,0.3860060126,0,0
479,0000000111011111,8,0.9295416661,0.01354214092,0,0
34234,1000010110111010,8,0.9041666687,0.013279306,0,0
34815,1000011111111111,12,0.9529947862,0.2818981102,0,0
2043,0000011111111011,10,0.9489270803,0.03217458411,0,0
9690,0010010111011010,8,0.8995156251,0.01301580408,0,0
34815,1000011111111111,12,0.9529947862,0.2818981102,0,0
34811,1000011111111011,11,0.9443697874,0.01692765197,0,0
34815,1000011111111111,12,0.9529947862,0.2818981102,0,0
9690,0010010111011010,8,0.8995156251,0.01301580408,0,0
34811,1000011111111011,11,0.9443697874,0.01692765197,0,0
1531,0000010111111011,9,0.9438645821,0.01614401932,0,0
36831,1000111111011111,12,0.9457604159,0.03111329261,0,0
2047,0000011111111111,11,0.9563333355,0.3860060126,0,0
2047,0000011111111111,11,0.9563333355,0.3860060126,0,0
34234,1000010110111010,8,0.9041666687,0.013279306,0,0.006164145264
34815,1000011111111111,12,0.9529947862,0.2818981102,0,0
9690,0010010111011010,8,0.8995156251,0.01301580408,0,0
36831,1000111111011111,12,0.9457604159,0.03111329261,0,0
2047,0000011111111111,11,0.9563333355,0.3860060126,0,0
34811,1000011111111011,11,0.9443697874,0.01692765197,0,0
36831,1000111111011111,12,0.9457604159,0.03111329261,0,0
9690,0010010111011010,8,0.8995156251,0.01301580408,0,0
34811,1000011111111011,11,0.9443697874,0.01692765197,0,0
36831,1000111111011111,12,0.9457604159,0.03111329261,0,0
34234,1000010110111010,8,0.9041666687,0.013279306,0,0
1531,0000010111111011,9,0.9438645821,0.01614401932,0,0.004094185649
34815,1000011111111111,12,0.9529947862,0.2818981102,0,0.2786651371
2043,0000011111111011,10,0.9489270803,0.03217458411,0,0
2046,0000011111111110,10,0.9452552125,0.02783515851,0,0
34234,1000010110111010,8,0.9041666687,0.013279306,0,0
479,0000000111011111,8,0.9295416661,0.01354214092,0,0
34811,1000011111111011,11,0.9443697874,0.01692765197,0,0
2047,0000011111111111,11,0.9563333355,0.3860060126,0,0
34815,1000011111111111,12,0.9529947862,0.2818981102,0,0
34811,1000011111111011,11,0.9443697874,0.01692765197,0,0
34811,1000011111111011,11,0.9443697874,0.01692765197,0,0
34811,1000011111111011,11,0.9443697874,0.01692765197,0,0
10207,0010011111011111,11,0.9425364584,0.01518434961,0,0
34815,1000011111111111,12,0.9529947862,0.2818981102,0,0
36831,1000111111011111,12,0.9457604159,0.03111329261,0,0
2047,0000011111111111,11,0.9563333355,0.3860060126,0,0
2047,0000011111111111,11,0.9563333355,0.3860060126,0,0
58,0000000000111010,4,0.6721614636,0.01116602815,0,0.00105199542
9690,0010010111011010,8,0.8995156251,0.01301580408,0,0
1531,0000010111111011,9,0.9438645821,0.01614401932,0,0
2047,0000011111111111,11,0.9563333355,0.3860060126,0,0
9690,0010010111011010,8,0.8995156251,0.01301580408,0,0
9690,0010010111011010,8,0.8995156251,0.01301580408,0,0
2047,0000011111111111,11,0.9563333355,0.3860060126,0,0
3067,0000101111111011,10,0.9405468721,0.01406203012,0,0
2043,0000011111111011,10,0.9489270803,0.03217458411,0,0
34234,1000010110111010,8,0.9041666687,0.013279306,0,0
34815,1000011111111111,12,0.9529947862,0.2818981102,0,0
2043,0000011111111011,10,0.9489270803,0.03217458411,0,0
34815,1000011111111111,12,0.9529947862,0.2818981102,0,0
2047,0000011111111111,11,0.9563333355,0.3860060126,0,0
8986,0010001100011010,6,0.7980885413,0.01217547635,0,0.01497407512
479,0000000111011111,8,0.9295416661,0.01354214092,0,0
2047,0000011111111111,11,0.9563333355,0.3860060126,0,0
36831,1000111111011111,12,0.9457604159,0.03111329261,0,0
36831,1000111111011111,12,0.9457604159,0.03111329261,0,0
2047,0000011111111111,11,0.9563333355,0.3860060126,0,0
36831,1000111111011111,12,0.9457604159,0.03111329261,0,0
2043,0000011111111011,10,0.9489270803,0.03217458411,0,0
36859,1000111111111011,12,0.9456145819,0.0285294237,0,0.002254710219
34762,1000011111001010,8,0.8919010404,0.01272400367,0,0.0300043741
4335,0001000011101111,8,0.8750260454,0.01255761346,0,0.006645033574
