index,bitmask,num_features,mean_accuracy,mean_time,penalized_fitness
1,000000001,1,0.7878048848,0.08813527925,0.7766937737
2,000000010,1,0.8757621963,0.0863469597,0.8646510851
3,000000011,2,0.893902434,0.1188580212,0.8716802118
4,000000100,1,0.9094512276,0.06868225115,0.8983401165
5,000000101,2,0.9044207372,0.07468588371,0.882198515
6,000000110,2,0.9178353697,0.1008892676,0.8956131475
7,000000111,3,0.9213414732,0.1769612008,0.8880081399
8,000001000,1,0.9012195114,0.0953759877,0.8901084003
9,000001001,2,0.9167682994,0.1331997535,0.8945460772
10,000001010,2,0.9445121922,0.1083079919,0.9222899699
11,000001011,3,0.9513719436,0.1420441959,0.9180386102
12,000001100,2,0.9342987817,0.1145905149,0.9120765595
13,000001101,3,0.9356707335,0.3014179626,0.9023374001
14,000001110,3,0.9452743828,0.2012516796,0.9119410495
15,000001111,4,0.9467987716,0.2596095148,0.9023543272
16,000010000,1,0.8800304849,0.0962131978,0.8689193738
17,000010001,2,0.8894816972,0.1499703776,0.867259475
18,000010010,2,0.9048780557,0.1242320742,0.8826558335
19,000010011,3,0.9097560961,0.1301706852,0.8764227627
20,000010100,2,0.916006105,0.1150037684,0.8937838828
21,000010101,3,0.9280487876,0.1438165735,0.8947154543
22,000010110,3,0.9240853731,0.1162337693,0.8907520397
23,000010111,4,0.9347560983,0.1537364139,0.8903116539
24,000011000,2,0.9400914628,0.1224767463,0.9178692406
25,000011001,3,0.9463414568,0.1495797473,0.9130081235
26,000011010,3,0.9474085309,0.166096261,0.9140751975
27,000011011,4,0.9495426714,0.1951567573,0.905098227
28,000011100,3,0.9434451163,0.1445199884,0.9101117829
29,000011101,4,0.951067064,0.1539091161,0.9066226195
30,000011110,4,0.9535060879,0.1916021421,0.9090616434
31,000011111,5,0.9507621899,0.2732690205,0.8952066344
32,000100000,1,0.8641768359,0.1044695501,0.8530657248
33,000100001,2,0.8849085364,0.1405141028,0.8626863142
34,000100010,2,0.9111280553,0.1001502015,0.8889058331
35,000100011,3,0.9163109809,0.1255413797,0.8829776476
36,000100100,2,0.9050304871,0.1029281626,0.8828082649
37,000100101,3,0.9213414732,0.1178390123,0.8880081399
38,000100110,3,0.9329268336,0.1262098874,0.8995935003
39,000100111,4,0.9327743929,0.170628381,0.8883299484
40,000101000,2,0.9376524407,0.09235404083,0.9154302185
41,000101001,3,0.9443597533,0.2578364955,0.9110264199
42,000101010,3,0.955487797,0.1481546445,0.9221544637
43,000101011,4,0.9513719436,0.1703410912,0.9069274991
44,000101100,3,0.9384146333,0.1604029066,0.9050812999
45,000101101,4,0.9461890161,0.1590515091,0.9017445717
46,000101110,4,0.9539634064,0.1775657085,0.9095189619
47,000101111,5,0.9513719473,0.1973781134,0.8958163917
48,000110000,2,0.9140243977,0.09490588191,0.8918021755
49,000110001,3,0.9184451289,0.1473816759,0.8851117956
50,000110010,3,0.9269817118,0.1555463769,0.8936483784
51,000110011,4,0.926524397,0.1556108566,0.8820799525
52,000110100,3,0.9237804934,0.1129184102,0.8904471601
53,000110101,4,0.9317073226,0.1503448677,0.8872628782
54,000110110,4,0.9384146333,0.1622000067,0.8939701888
55,000110111,5,0.9394817054,0.1547308483,0.8839261499
56,000111000,3,0.9454268273,0.1453281161,0.912093494
57,000111001,4,0.9443597514,0.1744129988,0.899915307
58,000111010,4,0.9541158453,0.1998991431,0.9096714008
59,000111011,5,0.9528963305,0.1926716072,0.897340775
60,000111100,4,0.9525914546,0.1621299409,0.9081470102
61,000111101,5,0.9515243843,0.1722416603,0.8959688288
62,000111110,5,0.9538109656,0.2270585177,0.8982554101
63,000111111,6,0.9544207286,0.2803421966,0.8877540619
64,001000000,1,0.9262195174,0.09079117677,0.9151084063
65,001000001,2,0.9350609761,0.1252497334,0.9128387539
66,001000010,2,0.9518292602,0.09929567995,0.929607038
67,001000011,3,0.9541158434,0.1536063617,0.9207825101
68,001000100,2,0.947560966,0.2287352863,0.9253387438
69,001000101,3,0.949695114,0.1974406161,0.9163617807
70,001000110,3,0.9445121922,0.1709114732,0.9111788588
71,001000111,4,0.9454268254,0.1695544343,0.900982381
72,001001000,2,0.9495426752,0.1139507112,0.9273204529
73,001001001,3,0.953048775,0.1462754204,0.9197154416
74,001001010,3,0.9570121821,0.1378696063,0.9236788488
75,001001011,4,0.9623475578,0.1703412908,0.9179031133
76,001001100,3,0.9522865731,0.1880639463,0.9189532398
77,001001101,4,0.9611280505,0.2220115,0.916683606
78,001001110,4,0.9573170636,0.2032758179,0.9128726191
79,001001111,5,0.962957317,0.2229459747,0.9074017615
80,001010000,2,0.9368902445,0.1682704333,0.9146680223
81,001010001,3,0.9440548755,0.1765820705,0.9107215422
82,001010010,3,0.9452743866,0.1904831256,0.9119410532
83,001010011,4,0.9489329197,0.2551624496,0.9044884752
84,001010100,3,0.9432926793,0.1912370785,0.9099593459
85,001010101,4,0.949542677,0.1903469744,0.9050982326
86,001010110,4,0.9498475529,0.2009678534,0.9054031085
87,001010111,5,0.9501524288,0.2489087577,0.8945968733
88,001011000,3,0.9570121896,0.1966020344,0.9236788562
89,001011001,4,0.958079258,0.2149465061,0.9136348135
90,001011010,4,0.9618902393,0.2218290572,0.9174457948
91,001011011,5,0.9626524337,0.2549881525,0.9070968781
92,001011100,4,0.9571646284,0.2256155275,0.912720184
93,001011101,5,0.9603658449,0.2507782625,0.9048102893
94,001011110,5,0.9580792617,0.2609661664,0.9025237061
95,001011111,6,0.9603658505,0.4629407227,0.8936991838
96,001100000,2,0.9330792725,0.09982250445,0.9108570503
97,001100001,3,0.9439024366,0.1496965196,0.9105691033
98,001100010,3,0.9480182808,0.1166399249,0.9146849475
99,001100011,4,0.9495426733,0.1583316922,0.9050982289
100,001100100,3,0.9481707253,0.1504776806,0.9148373919
101,001100101,4,0.9471036494,0.1847556052,0.9026592049
102,001100110,4,0.9516768195,0.1653954163,0.907232375
103,001100111,5,0.9515243843,0.1856543748,0.8959688288
104,001101000,3,0.9568597451,0.1185564424,0.9235264118
105,001101001,4,0.9583841395,0.1598443775,0.913939695
106,001101010,4,0.9589938987,0.1349909608,0.9145494543
107,001101011,5,0.9643292632,0.1645711297,0.9087737076
108,001101100,4,0.9585365746,0.1886128322,0.9140921302
109,001101101,5,0.9626524318,0.2083265451,0.9070968762
110,001101110,5,0.9606707301,0.2040525535,0.9051151745
111,001101111,6,0.958993895,0.2237674175,0.8923272283
112,001110000,3,0.9481707234,0.1940589957,0.9148373901
113,001110001,4,0.9504573084,0.1746187271,0.906012864
114,001110010,4,0.9474085346,0.1818423038,0.9029640901
115,001110011,5,0.9527438954,0.1939238748,0.8971883398
116,001110100,4,0.9464938957,0.2140967343,0.9020494513
117,001110101,5,0.9518292584,0.210091874,0.8962737028
118,001110110,5,0.9516768213,0.2225226476,0.8961212658
119,001110111,6,0.9516768157,0.2266518502,0.8850101491
120,001111000,4,0.9544207193,0.2454422717,0.9099762749
121,001111001,5,0.9562499933,0.3466811553,0.9006944377
122,001111010,5,0.9635670725,0.3054453623,0.908011517
123,001111011,6,0.9626524355,0.2404932803,0.8959857689
124,001111100,5,0.9573170636,0.2322485391,0.901761508
125,001111101,6,0.9565548748,0.2541114357,0.8898882081
126,001111110,6,0.9554878008,0.2875207094,0.8888211341
127,001111111,7,0.9617378041,0.3252968704,0.8839600263
128,010000000,1,0.9323170781,0.08404751134,0.921205967
129,010000001,2,0.9335365873,0.1010586498,0.9113143651
130,010000010,2,0.9394817092,0.1096591135,0.9172594869
131,010000011,3,0.9347560965,0.1501262328,0.9014227631
132,010000100,2,0.9396341462,0.1636577162,0.9174119239
133,010000101,3,0.9432926811,0.1673714092,0.9099593478
134,010000110,3,0.9411585312,0.1737534327,0.9078251979
135,010000111,4,0.9429878015,0.1987346318,0.8985433571
136,010001000,2,0.9556402415,0.08872172865,0.9334180193
137,010001001,3,0.9589938968,0.1376599907,0.9256605635
138,010001010,3,0.9580792598,0.1175190397,0.9247459265
139,010001011,4,0.9586890135,0.1512846262,0.9142445691
140,010001100,3,0.9544207212,0.1939722262,0.9210873878
141,010001101,4,0.9608231671,0.193762437,0.9163787227
142,010001110,4,0.9562499933,0.2010135157,0.9118055489
143,010001111,5,0.9640243854,0.2269113725,0.9084688299
144,010010000,2,0.9355182927,0.1628878268,0.9132960705
145,010010001,3,0.943597557,0.1669537378,0.9102642237
146,010010010,3,0.9370426815,0.1859965373,0.9037093482
147,010010011,4,0.9367378037,0.1958240762,0.8922933593
148,010010100,3,0.9419207256,0.2030755011,0.9085873923
149,010010101,4,0.9435975533,0.2027544379,0.8991531089
150,010010110,4,0.9428353608,0.4122778447,0.8983909163
151,010010111,5,0.9432926774,0.2769849757,0.8877371218
152,010011000,3,0.9513719399,0.2329935927,0.9180386065
153,010011001,4,0.955487797,0.2314127795,0.9110433526
154,010011010,4,0.9570121877,0.2396545438,0.9125677432
155,010011011,5,0.9644817039,0.2534072064,0.9089261484
156,010011100,4,0.9596036505,0.2749188193,0.9151592061
157,010011101,5,0.9608231653,0.2573634591,0.9052676097
158,010011110,5,0.9586890191,0.2851446816,0.9031334635
159,010011111,6,0.9618902393,0.2912165942,0.8952235726
160,010100000,2,0.9399390239,0.09322097432,0.9177168017
161,010100001,3,0.926981708,0.1333965359,0.8936483747
162,010100010,3,0.9460365772,0.1228090909,0.9127032439
163,010100011,4,0.9469512142,0.1452375506,0.9025067698
164,010100100,3,0.9356707316,0.1803958965,0.9023373983
165,010100101,4,0.9425304867,0.182659965,0.8980860423
166,010100110,4,0.9381097537,0.1851869859,0.8936653092
167,010100111,5,0.9480182845,0.1973982276,0.892462729
168,010101000,3,0.9556402303,0.1283902619,0.922306897
169,010101001,4,0.9554877914,0.1521936124,0.911043347
170,010101010,4,0.9583841376,0.1237906108,0.9139396932
171,010101011,5,0.961890243,0.1561283367,0.9063346874
172,010101100,4,0.9548780415,0.1772159359,0.9104335971
173,010101101,5,0.9568597469,0.2084413404,0.9013041914
174,010101110,5,0.9596036505,0.2229905166,0.9040480949
175,010101111,6,0.9585365672,0.2318464871,0.8918699005
176,010110000,3,0.9341463428,0.2078121302,0.9008130095
177,010110001,4,0.9394817054,0.2004012102,0.895037261
178,010110010,4,0.9370426852,0.3352389857,0.8925982408
179,010110011,5,0.9410060942,0.2424715101,0.8854505387
180,010110100,4,0.9402438998,0.2270922111,0.8957994554
181,010110101,5,0.9463414587,0.2437225715,0.8907859032
182,010110110,5,0.9414634127,0.2396552637,0.8859078572
183,010110111,6,0.9443597514,0.2673205337,0.8776930848
184,010111000,4,0.9567073099,0.2421766864,0.9122628655
185,010111001,5,0.957012184,0.2482354445,0.9014566284
186,010111010,5,0.9589938968,0.2682068814,0.9034383413
187,010111011,6,0.9594512116,0.279120577,0.8927845449
188,010111100,5,0.9551829174,0.2635214692,0.8996273619
